STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/23/1952,0,0,0,,74,45
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/24/1952,0.35,0,0,,65,52
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/25/1952,1.46,0,0,,66,53
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/26/1952,0.01,0,0,,70,53
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/27/1952,0,0,0,,75,50
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/28/1952,0,0,0,,83,49
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/29/1952,0.05,0,0,,69,56
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/30/1952,0,0,0,,73,48
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/31/1952,0.09,0,0,,71,56
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/1/1952,0.29,0,0,,70,57
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/2/1952,0,0,0,,76,51
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/3/1952,0,0,0,,82,48
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/4/1952,0,0,0,,86,61
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/5/1952,0,0,0,,76,57
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/6/1952,0,0,0,,84,55
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/7/1952,0,0,0,,75,57
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/8/1952,0,0,0,,85,54
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/9/1952,0.44,0,0,,85,61
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/10/1952,0,0,0,,83,56
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/11/1952,0,0,0,,65,55
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/12/1952,0,0,0,,72,52
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/13/1952,0,0,0,,79,45
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/14/1952,0,0,0,,84,55
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/15/1952,0,0,0,,91,66
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/16/1952,0,0,0,,86,62
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/17/1952,0,0,0,,96,70
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/18/1952,0,0,0,,82,63
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/19/1952,0.15,0,0,,78,58
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/20/1952,0,0,0,,72,52
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/21/1952,0,0,0,,64,56
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/22/1952,0.41,0,0,,64,56
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/23/1952,0.39,0,0,,63,56
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/24/1952,0,0,0,,85,60
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/25/1952,0,0,0,,95,73
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/26/1952,0,0,0,,97,75
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/27/1952,0,0,0,,89,73
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/28/1952,0,0,0,,86,67
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/29/1952,0.02,0,0,,85,69
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",6/30/1952,0,0,0,,81,62
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/1/1952,0,0,0,,82,53
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/2/1952,0,0,0,,86,57
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/3/1952,0,0,0,,89,61
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/4/1952,0,0,0,,85,72
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/5/1952,0,0,0,,86,65
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/6/1952,0,0,0,,90,60
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/7/1952,0,0,0,,89,65
